EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
84134.297,175601.484,33454.574,190427.219,-6827.654,-232333.344,104484.039,578567.438,0.016,0.983,0.260,0.000,0.000,0.000,26.667,1.000,1.000
-19.044,8335.949,7813.723,-21.726,-44.972,-1895.607,1112.044,44931.656,0.023,0.993,0.250,0.000,0.000,0.000,26.667,2.000,1.000
-1353.711,-76.085,-1435.608,0.000,0.000,-86.814,0.000,1824.707,0.026,0.996,0.244,0.000,0.000,0.000,26.667,3.000,1.000
-1676.113,-1940.757,-16818.705,0.000,0.000,-1.341,0.000,0.715,0.027,0.994,0.244,0.000,0.000,0.000,26.667,4.000,1.000
-2104.730,-3792.912,-23859.684,0.000,0.000,-1.341,-1.878,-102.282,0.031,0.994,0.249,0.000,0.000,0.000,26.667,5.000,1.000
-1592.696,-3131.927,-8284.094,-0.089,0.000,-282.973,-365.138,-388.563,0.033,0.989,0.246,2.350,3.143,2.106,26.667,6.000,1.000
-1203.597,-2565.623,-318.378,-88.334,0.000,-1313.120,-1713.664,-515.252,0.036,0.983,0.241,4.211,1.923,1.953,26.667,7.000,1.000
-983.566,-2140.045,-805.736,-724.375,38.534,-1346.022,-1767.844,-546.277,0.037,0.980,0.239,3.632,-0.397,0.610,26.667,8.000,1.000
-857.592,-1756.579,-945.211,-1223.624,76.085,-1018.524,-1325.995,-508.368,0.039,0.978,0.237,3.723,-1.251,0.061,26.667,9.000,1.000
-735.730,-1368.195,-746.191,-1020.581,-899.345,-733.942,-950.307,-382.125,0.042,0.976,0.240,3.845,-1.221,0.092,26.667,10.000,1.000
-610.292,-1036.585,-553.966,-814.229,-970.692,-476.271,-624.687,-170.857,0.045,0.975,0.237,4.059,-1.099,0.000,26.667,11.000,1.000
-512.034,-822.276,-402.421,-709.534,-937.343,-265.002,-346.988,-3.666,0.044,0.975,0.238,4.181,-0.885,0.092,26.667,12.000,1.000
-443.995,-733.942,-308.365,-703.812,-1032.919,-80.019,-102.282,146.538,0.046,0.975,0.236,4.272,-0.549,0.122,26.667,13.000,1.000
-417.620,-773.639,-258.565,-826.836,-1288.802,-1.878,50.515,466.079,0.046,0.974,0.234,4.517,-0.244,0.183,26.667,14.000,1.000
-437.737,-754.953,-246.406,-740.826,-1448.483,19.938,70.721,475.645,0.045,0.975,0.234,4.700,0.092,0.214,26.667,15.000,1.000
-363.171,-510.603,-209.302,-621.736,-740.469,49.889,4.828,292.271,0.045,0.976,0.232,4.761,0.397,0.153,26.667,16.000,1.000
-270.277,-436.038,-229.776,-479.221,-417.888,-12.696,-97.901,35.584,0.043,0.977,0.227,4.883,0.610,0.092,26.667,17.000,1.000
