EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-151.634,-187.308,-153.065,-147.611,-154.048,-133.574,-133.216,-116.855,-0.033,0.996,-0.051,0.366,0.244,-0.092,93.333,39.000,1.000
-150.472,-184.804,-151.634,-146.180,-152.171,-132.144,-132.054,-115.693,-0.034,0.997,-0.051,0.336,0.397,-0.122,93.333,40.000,1.000
-149.220,-182.569,-150.114,-144.571,-150.293,-130.802,-131.160,-114.620,-0.032,1.000,-0.050,0.305,0.580,-0.244,93.333,41.000,1.000
-147.700,-180.334,-148.773,-143.409,-148.505,-129.908,-130.355,-113.815,-0.032,0.999,-0.051,0.244,0.641,-0.183,93.333,42.000,1.000
-146.270,-178.635,-147.700,-142.068,-146.717,-128.657,-129.461,-112.921,-0.033,1.002,-0.054,0.183,0.732,-0.275,93.333,43.000,1.000
-145.018,-176.847,-146.538,-141.174,-145.465,-127.405,-128.925,-111.938,-0.033,1.002,-0.053,0.122,1.068,-0.366,93.333,44.000,1.000
-144.035,-175.059,-145.286,-140.101,-144.482,-126.332,-128.120,-111.222,-0.032,0.999,-0.053,0.061,1.129,-0.305,93.333,45.000,1.000
-143.319,-173.271,-144.213,-138.938,-143.141,-125.259,-127.494,-110.596,-0.033,0.997,-0.055,0.122,1.282,-0.366,93.333,46.000,1.000
-142.068,-171.840,-143.230,-138.134,-141.799,-124.812,-126.958,-109.702,-0.037,0.996,-0.053,0.092,1.312,-0.336,93.333,47.000,1.000
-140.995,-170.231,-142.157,-137.150,-140.637,-123.829,-126.421,-108.987,-0.039,0.994,-0.054,0.214,1.343,-0.488,93.333,48.000,1.000
-140.101,-168.890,-140.727,-136.077,-139.475,-123.113,-125.796,-108.361,-0.044,0.995,-0.056,0.275,1.434,-0.671,93.333,49.000,1.000
-139.207,-167.370,-139.922,-135.094,-138.402,-122.577,-125.080,-107.646,-0.046,0.998,-0.053,0.336,1.465,-0.702,93.333,50.000,1.000
-138.313,-166.029,-139.564,-134.468,-137.419,-121.772,-124.902,-106.931,-0.047,1.001,-0.052,0.305,1.465,-0.641,93.333,51.000,1.000
-137.597,-164.688,-139.028,-133.842,-136.435,-120.789,-124.276,-106.484,-0.049,1.004,-0.056,0.336,1.373,-0.732,93.333,52.000,1.000
-136.971,-163.525,-137.955,-133.127,-135.809,-120.074,-123.739,-106.037,-0.050,1.004,-0.052,0.305,1.282,-0.916,93.333,53.000,1.000
-136.077,-162.363,-137.150,-132.322,-134.736,-119.448,-123.292,-105.590,-0.050,1.007,-0.051,0.397,1.251,-0.793,93.333,54.000,1.000
-135.273,-161.469,-136.346,-131.339,-133.842,-119.090,-122.935,-104.696,-0.050,1.009,-0.051,0.305,1.129,-0.549,93.333,55.000,1.000
-134.468,-160.664,-135.630,-130.802,-133.127,-118.554,-122.488,-104.070,-0.051,1.010,-0.051,0.183,1.038,-0.610,93.333,56.000,1.000
-134.021,-159.502,-135.094,-130.445,-132.859,-118.017,-122.041,-103.891,-0.053,1.011,-0.053,0.122,0.854,-0.519,93.333,57.000,1.000
-133.485,-158.340,-134.647,-130.266,-132.054,-117.570,-121.772,-103.623,-0.052,1.011,-0.050,-0.092,0.671,-0.305,93.333,58.000,1.000
-133.127,-157.535,-134.021,-129.640,-131.160,-117.123,-121.504,-102.997,-0.052,1.010,-0.048,-0.214,0.488,-0.214,93.333,59.000,1.000
-132.412,-156.820,-133.574,-129.104,-130.445,-116.587,-121.236,-102.550,-0.054,1.008,-0.047,-0.244,0.305,-0.061,93.333,60.000,1.000
-131.875,-155.747,-133.127,-128.657,-129.998,-116.229,-120.789,-102.282,-0.055,1.005,-0.049,-0.366,0.092,0.061,93.333,61.000,1.000
-131.518,-155.211,-132.591,-128.031,-129.461,-115.871,-120.789,-102.013,-0.055,1.004,-0.047,-0.488,0.000,0.305,93.333,62.000,1.000
-130.981,-154.763,-132.233,-127.405,-129.014,-115.246,-120.431,-101.566,-0.056,1.001,-0.048,-0.427,-0.061,0.641,93.333,63.000,1.000
-130.713,-153.959,-131.786,-126.869,-128.299,-114.799,-119.895,-101.209,-0.054,0.998,-0.046,-0.366,-0.336,0.641,93.333,64.000,1.000
-130.355,-153.333,-131.428,-126.690,-128.031,-114.530,-119.537,-100.940,-0.055,0.996,-0.046,-0.122,-0.580,0.763,93.333,65.000,1.000
-129.819,-152.618,-130.713,-126.421,-127.494,-114.173,-119.269,-100.672,-0.054,0.997,-0.045,0.061,-0.824,0.854,93.333,66.000,1.000
-129.283,-151.992,-130.534,-125.974,-126.869,-113.994,-119.269,-100.583,-0.050,0.998,-0.049,0.244,-1.068,1.007,93.333,67.000,1.000
-129.104,-151.366,-130.087,-125.527,-126.421,-113.636,-119.090,-100.225,-0.051,0.998,-0.048,0.427,-1.282,1.068,93.333,68.000,1.000
-128.657,-150.830,-129.372,-125.349,-126.243,-113.100,-119.001,-99.868,-0.046,1.001,-0.051,0.610,-1.526,1.160,93.333,69.000,1.000
-127.941,-150.204,-129.372,-124.991,-125.796,-112.832,-118.643,-99.778,-0.043,1.000,-0.050,0.671,-1.526,1.129,93.333,70.000,1.000
-127.852,-149.578,-129.014,-124.455,-125.527,-112.653,-118.554,-99.599,-0.042,1.002,-0.048,0.793,-1.465,1.160,93.333,71.000,1.000
-127.494,-148.952,-128.746,-124.186,-125.349,-112.474,-118.107,-99.331,-0.039,1.002,-0.050,0.916,-1.373,1.190,93.333,72.000,1.000
-127.047,-148.594,-128.299,-124.007,-124.812,-112.027,-117.749,-99.242,-0.038,1.002,-0.049,0.793,-1.373,1.190,93.333,73.000,1.000
-126.869,-148.505,-128.031,-123.739,-124.186,-112.116,-117.660,-98.974,-0.037,1.001,-0.045,0.885,-1.282,1.160,93.333,74.000,1.000
-126.779,-147.879,-127.763,-123.471,-123.918,-111.848,-117.660,-98.705,-0.035,1.002,-0.052,0.977,-1.129,1.068,93.333,75.000,1.000
-126.243,-147.611,-127.584,-123.113,-123.829,-111.669,-117.391,-98.526,-0.036,1.006,-0.046,0.977,-1.007,1.068,93.333,76.000,1.000
-126.243,-147.253,-127.316,-123.024,-123.560,-111.401,-117.034,-98.348,-0.036,1.005,-0.048,0.977,-0.854,1.007,93.333,77.000,1.000
-125.885,-147.164,-127.137,-123.024,-123.382,-111.133,-117.123,-98.258,-0.037,1.007,-0.047,0.854,-0.671,0.946,93.333,78.000,1.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,79.000,1.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,80.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,81.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,82.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,83.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,84.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,85.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,86.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,87.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,88.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,89.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,90.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,91.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,92.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,93.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,94.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,95.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,96.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,97.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,98.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,99.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,100.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,101.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,102.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,103.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,104.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,105.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,106.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,107.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,108.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,109.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,110.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,111.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,112.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,113.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,114.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,115.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,116.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,117.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,118.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,119.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,120.000,0.000
